OBJECT_ID,COLONNE,VALEUR
13550-INFO-SOC-GLASSDOOR-E10686_P1.html,FILE_TYPE,html
13550-INFO-SOC-GLASSDOOR-E10686_P1.html,COPY_STATUS,SUCCESS
13551-AVIS-SOC-GLASSDOOR-E794111_P1.html,DATE_COPY,2025-11-16 14:29:20.265254
13551-AVIS-SOC-GLASSDOOR-E794111_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13551-AVIS-SOC-GLASSDOOR-E794111_P1.html/13551-AVIS-SOC-GLASSDOOR-E794111_P1.html
13551-AVIS-SOC-GLASSDOOR-E794111_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13551-AVIS-SOC-GLASSDOOR-E794111_P1.html/13551-AVIS-SOC-GLASSDOOR-E794111_P1.html
13551-AVIS-SOC-GLASSDOOR-E794111_P1.html,FILE_TYPE,html
13551-AVIS-SOC-GLASSDOOR-E794111_P1.html,COPY_STATUS,SUCCESS
13551-INFO-EMP-LINKEDIN-FR-1602929951.html,DATE_COPY,2025-11-16 14:29:20.540239
13551-INFO-EMP-LINKEDIN-FR-1602929951.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13551-INFO-EMP-LINKEDIN-FR-1602929951.html/13551-INFO-EMP-LINKEDIN-FR-1602929951.html
13551-INFO-EMP-LINKEDIN-FR-1602929951.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13551-INFO-EMP-LINKEDIN-FR-1602929951.html/13551-INFO-EMP-LINKEDIN-FR-1602929951.html
13551-INFO-EMP-LINKEDIN-FR-1602929951.html,FILE_TYPE,html
13551-INFO-EMP-LINKEDIN-FR-1602929951.html,COPY_STATUS,SUCCESS
13551-INFO-SOC-GLASSDOOR-E794111_P1.html,DATE_COPY,2025-11-16 14:29:21.118431
13551-INFO-SOC-GLASSDOOR-E794111_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13551-INFO-SOC-GLASSDOOR-E794111_P1.html/13551-INFO-SOC-GLASSDOOR-E794111_P1.html
13551-INFO-SOC-GLASSDOOR-E794111_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13551-INFO-SOC-GLASSDOOR-E794111_P1.html/13551-INFO-SOC-GLASSDOOR-E794111_P1.html
13551-INFO-SOC-GLASSDOOR-E794111_P1.html,FILE_TYPE,html
13551-INFO-SOC-GLASSDOOR-E794111_P1.html,COPY_STATUS,SUCCESS
13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html,DATE_COPY,2025-11-16 14:29:21.577764
13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html,SOURCE_PATH,DATALAKE/0_SOURCE_WEB/13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html/13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html
13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html,DESTINATION_PATH,DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVIS/13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html/13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html
13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html,FILE_TYPE,html
13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html,COPY_STATUS,SUCCESS
