date_creation_entreprise;fichier_source;id_soc;nom_societe;secteur_entreprise;siege_social_entreprise;taille_entreprise;type_entreprise;ville_entreprise
 Inconnu;13627-INFO-SOC-GLASSDOOR-E253618_P1.html;43;Concordia University; Enseignement supérieur et universités;Montréal, QC (Canada);De 5 001 à 10 000 employés; Enseignement supérieur/universitaire;Montréal, QC (Canada)
 Inconnu;13628-INFO-SOC-GLASSDOOR-E235643_P1.html;44;University of Montreal; Enseignement supérieur et universités;Montréal, QC (Canada);De 5 001 à 10 000 employés; Enseignement supérieur/universitaire;Montréal, QC (Canada)
 Inconnu;13629-INFO-SOC-GLASSDOOR-E474142_P1.html;45;CRIM (Computer Research Institute of Montreal); Recherche et développement;Montréal, QC (Canada);Inconnu; Autre organisation;Montréal, QC (Canada)
 Inconnu;13630-INFO-SOC-GLASSDOOR-E456207_P1.html;46;Eidos Montreal; Jeux vidéo;Montréal, QC (Canada);Entre 201 et 500 employés; Entreprise cotée en bourse;Montréal, QC (Canada)
 Inconnu;13633-INFO-SOC-GLASSDOOR-E672181_P1.html;47;Softeam; Matériel et logiciels informatiques;Paris;De 501 à 1 000 employés; Entreprise non cotée en bourse;Paris
 1993;13634-INFO-SOC-GLASSDOOR-E7633_P1.html;48;NVIDIA; Matériel et logiciels informatiques;Santa Clara, CA (États-Unis);Plus de 10 000 employés; Entreprise cotée en bourse (NVDA) ;Santa Clara, CA (États-Unis)
 2007;13636-INFO-SOC-GLASSDOOR-E1303620_P1.html;49;2S2I Solutions & Services; Services informatiques;Montpellier;De 51 à 200 employés; Autre organisation;Montpellier
 1980;13553-INFO-SOC-GLASSDOOR-E5304_P1.html;5;Atos-Syntel; Services informatiques;Troy, MI (États-Unis);Plus de 10 000 employés; Filiale ou unité d'exploitation;Troy, MI (États-Unis)
 Inconnu;13637-INFO-SOC-GLASSDOOR-E3133104_P1.html;50;ALTRAN; Inconnu;Hambourg (Allemagne);Inconnu; Entreprise cotée en bourse;Hambourg (Allemagne)
 Inconnu;13638-INFO-SOC-GLASSDOOR-E1481570_P1.html;51;ALTRAD Group; Inconnu;Montpellier;De 1 001 à 5 000 employés; Entreprise non cotée en bourse;Montpellier
 1991;13639-INFO-SOC-GLASSDOOR-E7448_P1.html;52;Altran Group; Services informatiques;Paris;Plus de 10 000 employés; Entreprise cotée en bourse (ALT) ;Paris
"<a href=""/Présentation/Travailler-chez-Altran-Group-EI_IE7448.16,28.htm"">Altran Group</a>";13640-INFO-SOC-GLASSDOOR-E427636_P1.html;53;Altran Engineering Solution; Entreprise non cotée en bourse;Nice;De 501 à 1 000 employés; 2006;Nice
"<a href=""/Présentation/Travailler-chez-Altran-North-America-EI_IE28187.16,36.htm"">Altran North America</a>";13641-INFO-SOC-GLASSDOOR-E28187_P1.html;54;Altran North America; Entreprise cotée en bourse;New York, NY (États-Unis);Plus de 10 000 employés; 1991;New York, NY (États-Unis)
