experience_emp;fichier_source;fonction_emp;formation_emp;lieu_emp;missions_emp;niveau_hierarchique;nom_societe_gemini;nom_societe_scrap;secteur_emp;soft_skills_emp;technos_emp;titre_emp;type_emp
NULL;13732-INFO-EMP-LINKEDIN-FR-1644730945.html;Ingénierie;NULL;La Ciotat, FR;NULL;Premier emploi;NULL;CELAD;Technologies de l’information;NULL;NULL;[CDI ou Freelance] Ingénieur développement Python orienté traitement de données et Big Data - H/F;Temps plein
NULL;13733-INFO-EMP-LINKEDIN-FR-1627370281.html;Études/recherche;NULL;Vélizy-Villacoublay, FR;NULL;Non pertinent;NULL;Dassault Systèmes;Design;NULL;NULL;Ingénieur développement Big Data DELMIA R&D H/F;Temps plein
NULL;13734-INFO-EMP-LINKEDIN-FR-1625731515.html;Ingénierie;NULL;Le Mans, FR;NULL;Premier emploi;NULL;Groupe SII;Technologies de l’information;NULL;NULL;Ingénieur développement Big Data;Temps plein
NULL;13564-INFO-EMP-LINKEDIN-FR-1638814150.html;Ingénierie;NULL;Lyon, FR;NULL;Premier emploi;NULL;Soladis;Technologies de l’information;NULL;NULL;Data Scientist F/H;Temps plein
NULL;13735-INFO-EMP-LINKEDIN-FR-1619981567.html;Ingénierie;NULL;Paris, Ile-de-France, France;NULL;Manager;NULL;AnotherBrain;Technologies de l’information;NULL;NULL;Ingénieur.e IA;Temps plein
NULL;13736-INFO-EMP-LINKEDIN-FR-1559612050.html;Technologies de l’information;NULL;Paris, FR;NULL;Premier emploi;NULL;Astek;Conseil;NULL;NULL;Ingénieur étude et développement BIG DATA (H/F);Temps plein
NULL;13737-INFO-EMP-LINKEDIN-FR-1569461835.html;Technologies de l’information;NULL;Bezons, Île-de-France, France;NULL;Confirmé;NULL;Atos;Développement commercial;NULL;NULL;Ingénieur Commercial Big Data/IA (H/F);Temps plein
NULL;13738-INFO-EMP-LINKEDIN-FR-1609503176.html;Conseil;NULL;Sophia Antipolis, FR;NULL;Confirmé;NULL;Altran;Technologies de l’information;NULL;NULL;INGENIEUR EN DEVELOPPEMENT BIG DATA H/F;Temps plein
NULL;13739-INFO-EMP-LINKEDIN-FR-1596039881.html;Ingénierie;NULL;Vernon, FR;NULL;Premier emploi;NULL;SKF Groupe;Technologies de l’information;NULL;NULL;Ingénieur Big Data;Temps plein
NULL;13740-INFO-EMP-LINKEDIN-FR-1442551628.html;Conseil;NULL;Paris 16, Île-de-France, France;NULL;Confirmé;NULL;SOFTEAM Group;Technologies de l’information;NULL;NULL;Ingénieur Big Data;Temps plein
