fichier_source;id_soc;nom_societe;taille_entreprise;ville_entreprise
13705-INFO-SOC-GLASSDOOR-E2762239_P1.html;83;Sanofi Pasteur; Inconnu;Inconnu
13706-INFO-SOC-GLASSDOOR-E19928_P1.html;84;Merial;De 1 001 à 5 000 employés;Harlow, Angleterre (Royaume-Uni)
13708-INFO-SOC-GLASSDOOR-E4252_P1.html;85;Groupe Crédit Agricole;De 5 001 à 10 000 employés;Montrouge
13709-INFO-SOC-GLASSDOOR-E1365869_P1.html;86;Groupe Crédit Agricole du Maroc;De 501 à 1 000 employés;Rabat (Maroc)
13710-INFO-SOC-GLASSDOOR-E476908_P1.html;87;CACIB;De 5 001 à 10 000 employés;Paris
13711-INFO-SOC-GLASSDOOR-E3043501_P1.html;88;Crédit Agricole d'Ile de France;De 1 001 à 5 000 employés;Paris
13712-INFO-SOC-GLASSDOOR-E3041003_P1.html;89;Crédit Agricole d'Aquitaine;De 1 001 à 5 000 employés;Bordeaux, Aquitaine
13562-INFO-SOC-GLASSDOOR-E1303620_P1.html;9;2S2I Solutions & Services;De 51 à 200 employés;Montpellier
13713-INFO-SOC-GLASSDOOR-E3142186_P1.html;90;Crédit Agricole;Inconnu;Paris
13714-INFO-SOC-GLASSDOOR-E10777_P1.html;91;Lectra;De 1 001 à 5 000 employés;Paris
13716-INFO-SOC-GLASSDOOR-E466295_P1.html;92;Sopra Steria;Plus de 10 000 employés;Annecy-le-Vieux
13717-INFO-SOC-GLASSDOOR-E1187250_P1.html;93;Sopra Steria Recruitment;De 51 à 200 employés;Reading, Angleterre (Royaume-Uni)
13718-INFO-SOC-GLASSDOOR-E1881876_P1.html;94;CITECH;De 51 à 200 employés;Paris
13722-INFO-SOC-GLASSDOOR-E1256638_P1.html;95;Group Adaming;De 501 à 1 000 employés;Paris
13723-INFO-SOC-GLASSDOOR-E373493_P1.html;96;Micropole;De 1 001 à 5 000 employés;Levallois-Perret
13724-INFO-SOC-GLASSDOOR-E1126011_P1.html;97;alptis assurances;Entre 201 et 500 employés;Lyon
13725-INFO-SOC-GLASSDOOR-E10842_P1.html;98;Plastic Omnium; 1946;Plus de 10 000 employés
13727-INFO-SOC-GLASSDOOR-E1261010_P1.html;99;Mixt Composites Recyclables;Inconnu;Tournon-sur-Rhône
